authors,year,title,category,time_series,reasoning,verdict
Zhang et al.,2026,A novel multiple imputation approach with recursive feature elimination BiLSTM for spatiotemporally seamless Landsat NDVI reconstruction,C,YES,Uses multiple imputation as an empirical data reconstruction step for BiLSTM remote sensing time series gap filling without addressing statistical inference theory.,SKIP
Sun et al.,2026,A reconstruction method of missing torque data using a simplified neuromusculoskeletal (NMS) model,C,YES,Proposes a biomechanical model for torque time series reconstruction and mentions multiple imputation by chained equations only as a baseline benchmark.,SKIP
Charizanos et al.,2026,A new fuzzy-Bayesian multiple imputation approach for missing data,B,NO,Substantively discusses the statistical validity and uncertainty quantification of deep learning imputation relative to Bayesian multiple imputation without providing a formal proof.,REVIEW
Sharma et al.,2026,A unified framework for groundwater level imputation and forecasting in data-limited catchments,C,YES,Combines multiple imputation by chained equations with neural architecture search as a practical preprocessing pipeline for time series forecasting without theoretical inference analysis.,SKIP
Guo et al.,2026,A robust deep feature learning approach for personalized residential electricity plan recommendation,C,NO,Applies multiple imputation on autoencoder latent features strictly as a preprocessing step in an electricity plan recommender system.,SKIP
Bridge-Nduwimana et al.,2025,A Tabular Data Imputation Technique Using Transformer and Convolutional Neural Networks,B,NO,"Substantively discusses statistical validity, missingness mechanisms (MCAR/MNAR), and uncertainty quantification in deep learning imputation relative to classical multiple imputation.",REVIEW
Jiang et al.,2025,Adaptive weighted multiple imputation with generative adversarial networks for improving wind speed data integrity,C,YES,Combines Generative Adversarial Imputation Networks with a weighted multiple imputation heuristic for time series data without formal statistical inference analysis.,SKIP
Aselisewine & Pal,2025,A Neural Network Integrated Accelerated Failure Time-Based Mixture Cure Model,D,NO,Focuses on integrating neural networks into survival mixture cure models rather than missing data imputation theory.,SKIP
Min et al.,2025,A Risk Prediction Model (CMC-AKIX) for Postoperative Acute Kidney Injury Using Machine Learning: Algorithm Development and Validation,D,NO,Presents a clinical prediction model for kidney injury without addressing deep learning imputation or statistical inference theory.,SKIP
Siddiqi et al.,2025,A Novel Hyper-Tuned Multilayer Perceptron With Effective Stochastic Learning Strategies for Missing Values Imputation,C,NO,"Proposes a multilayer perceptron imputation algorithm evaluated on predictive accuracy, mentioning multiple imputation only as background context.",SKIP
