authors,year,title,category,time_series,reasoning,verdict
Saha et al.,2026,Spectrally normalised Wasserstein generative adversarial imputation framework for multi-modal SHM data recovery in digital-twin systems,B,YES,"Substantively incorporates Rubin's rules and Monte Carlo dropout into a GAN architecture to quantify predictive uncertainty in time-series data, focusing on empirical validation rather than formal proofs.",REVIEW
Lall & Robinson,2022,The MIDAS Touch: Accurate and Scalable Missing-Data Imputation with Deep Learning,B,NO,"Substantively discusses proper imputation and statistical validity of deep learning within Rubin's multiple imputation framework, relying on empirical social science evaluations rather than formal mathematical proofs.",REVIEW
Villines et al.,2026,The ASIA Data Science Challenge: Predicting Functional and Neurological Recovery from Acute ISNCSCI Scores,C,NO,Mentions multiple imputation as a data preprocessing technique in a Kaggle clinical recovery challenge without analyzing theoretical statistical validity.,SKIP
Han et al.,2025,SMART: Structured Missingness Analysis and Reconstruction Technique for credit scoring,C,NO,"Combines rSVD and GAIN for credit scoring data preprocessing, mentioning missing data literature as background without evaluating statistical inference validity.",SKIP
Kwak et al.,2025,Statistical Approach for the Imputation of Long-Term Seawater Data Around the Korean Peninsula from 1966 to 2021,C,YES,Applies statistical multiple imputation and seasonal-trend decomposition to oceanographic time series data without exploring deep learning statistical validity theory.,SKIP
Wu et al.,2025,Study on Regression Prediction of Blood Glucose Levels Based on RFA-CNN Model,C,NO,Uses multiple imputation during data preprocessing before applying a hybrid Random Forest and CNN model for blood glucose prediction.,SKIP
Tarle et al.,2025,The Missing Data Imputation Method for Medical Data Classification Using Most Probable Value,C,NO,Proposes a domain-based imputation heuristic to augment training samples for fuzzy neural networks without analyzing statistical inference validity.,SKIP
Zhuang et al.,2024,Short-Term Irradiance Prediction Based on Transformer with Inverted Functional Area Structure,C,YES,Mentions multiple imputation as part of a feature preprocessing pipeline prior to transformer-based solar irradiance forecasting.,SKIP
Pereira et al.,2024,Siamese Autoencoder Architecture for the Imputation of Data Missing Not at Random,C,NO,"Proposes a siamese autoencoder architecture for missing not at random (MNAR) tabular healthcare data, focusing on empirical performance rather than formal statistical proofs.",SKIP
Kitova et al.,2024,Stroke Dataset Modeling: Comparative Study of Machine Learning Classification Methods,C,NO,Reviews stroke prediction studies where multiple imputation is used as a data preprocessing technique prior to classification.,SKIP
Hua et al.,2024,The impact of data imputation on air quality prediction problem,C,YES,Provides an empirical benchmark comparing deep learning and statistical imputation models on air quality time series without examining theoretical statistical validity.,SKIP
Bashir et al.,2024,Time Series Reconstruction With Feature-Driven Imputation: A Comparison of Base Learning Algorithms,C,YES,"Evaluates machine learning base learners under MCAR, MAR, and MNAR missingness patterns on soil gas time series without theoretical inference analysis.",SKIP
Fan et al.,2023,Spatio-Temporal Denoising Graph Autoencoders with Data Augmentation for Photovoltaic Data Imputation,C,YES,Proposes a spatiotemporal denoising graph autoencoder for photovoltaic power time series imputation without addressing statistical validity theory.,SKIP
Chang et al.,2023,Time-aware neural ordinary differential equations for incomplete time series modeling,C,YES,"Introduces a continuous neural ODE framework for incomplete time series modeling, mentioning posterior distribution learning without connecting to Rubin's inference framework.",SKIP
Lee et al.,2022,Semi-GAN: An Improved GAN-Based Missing Data Imputation Method for the Semiconductor Industry,C,YES,Presents an empirical GAN imputation framework for semiconductor sensor data without analyzing theoretical statistical validity.,SKIP
Tu et al.,2022,Supervising the Decoder of Variational Autoencoders to Improve Scientific Utility,C,YES,Addresses encoder representation bias in supervised VAEs and applies it to missing data in electrophysiological recordings without connecting to Rubin's framework.,SKIP
van Amsterdam et al.,2022,The Association between Muscle Quantity and Overall Survival Depends on Muscle Radiodensity: A Cohort Study in Non-Small-Cell Lung Cancer Patients,C,NO,Uses deep learning for CT image segmentation and standard multiple imputation for clinical covariate missingness in a cohort survival study.,SKIP
Chakraborty et al.,2021,Sequential Data Imputation with Evolving Generative Adversarial Networks,C,YES,Develops a transfer learning GAN architecture for sequential dataset imputation without addressing statistical missing data theory.,SKIP
Mostafa et al.,2021,Statistical Machine Learning Approaches to Liver Disease Prediction,C,NO,Applies MICE for missing value preprocessing before training artificial neural networks and decision trees for liver disease prediction.,SKIP
Paul et al.,2021,Swarm Intelligence-Based Feature Selection and ANFIS Model Parameter Optimization for ASCV Risk Prediction and Classification,C,NO,Employs Gaussian copula multiple imputation as a preprocessing step prior to neuro-fuzzy clinical risk prediction.,SKIP
Jiang et al.,2021,The Application of Data Imputation and Deep Learning Network in the Papillary Thyroid Carcinoma Classification,C,NO,Combines multiple imputation for clinical features with deep transfer learning for ultrasound image classification without theoretical missing data analysis.,SKIP
Sano,2020,Synthetic Data by Principal Component Analysis,C,NO,Mentions multiple imputation in passing when contrasting PCA and neural network synthetic data generation for statistical disclosure control.,SKIP
Jordanov et al.,2016,Supervised Radar Signal Classification,C,YES,Applies statistical multiple imputation as a preprocessing step prior to radar signal classification without discussing deep learning statistical validity theory.,SKIP
Silva-Ramíreza et al.,2015,Single imputation with multilayer perceptron and multiple imputation combining multilayer perceptron and k-nearest neighbours for monotone patterns,C,NO,Proposes a heuristic combination of multilayer perceptrons and k-nearest neighbors for monotone missing data without evaluating statistical inference validity.,SKIP
Jordanov et al.,2014,Sets with Incomplete and Missing Data - NN Radar Signal Classification,C,YES,Uses standard multiple imputation software to preprocess incomplete radar signal data before neural network training.,SKIP
Rezende et al.,2014,Stochastic Backpropagation and Approximate Inference in Deep Generative Models,C,NO,"Introduces variational inference for deep generative models and demonstrates missing data imputation as approximate posterior sampling, but does not connect to Rubin's missing data framework.",SKIP
Xie & Ding,2013,Statistical Issues on Optimization for Software Metric Models with Missing Data,C,NO,Analyzes parameter selection in k-nearest neighbors multiple imputation for software engineering metrics without addressing deep learning imputation.,SKIP
Fernandes et al.,2009,Stratification Methodologies for Neural Networks Models of Survival,C,NO,Applies multiple imputation to clinical data prior to fitting a neural network survival model.,SKIP
Khoshgoftaar et al.,2007,The multiple imputation quantitative noise corrector,C,NO,Adapts statistical multiple imputation for noise detection in continuous data mining without bridging deep learning to missing data inference theory.,SKIP
Clark et al.,2003,Survival analysis part IV: Further concepts and methods in survival analysis,C,NO,Provides an educational tutorial on survival analysis that briefly mentions multiple imputation and neural networks as separate methodology topics.,SKIP
