authors,year,title,category,time_series,reasoning,verdict
"Bridge-Nduwimana, CB; El Harrauss, SE; El Ouaazizi, A; Benyakhlef, M",2025,A Tabular Data Imputation Technique Using Transformer and Convolutional Neural Networks,C,NO,Evaluates a hybrid autoencoder-transformer model under MCAR and MNAR missingness strictly as experimental evaluation settings without formal theoretical analysis of validity under these mechanisms.,SKIP
"Singh, S.K.; Yadav, P.K.; Kumar, P.; Kumar, A.; Ahmad, S.; Tyagi, H.",2025,"A Hybrid Self-Supervised Framework for Intelligent Data Imputation Using Causal Graphs, Diffusion Models, and Generative World Learning",B,NO,Substantively engages with missingness mechanisms by critiquing deep generative/diffusion models under MAR/MNAR and incorporating causal graph discovery to address mechanism-dependent validity.,REVIEW
"Singh, A.; Garg, K.",2026,A Hybrid Self-supervised Learning Framework for Missing Data Imputation in Cloud-Based Data Mining Systems,B,NO,Substantively engages with missingness mechanisms (addressing limitations of VAEs/GAIN under MAR/MNAR) and integrates causal reasoning for robust imputation across diverse missingness types.,REVIEW
"Momaya, M.; Simon, G.; Duarte, S.; Pruinelli, L.",2026,A Novel Approach for Handling Missing Data in Multivariate Time Series Clustering: Case Study on Predicting Delayed Graft Function,B,YES,Substantively addresses missingness mechanisms by contrasting DL assumptions under MCAR/MAR with MNAR realities in multivariate time series data and proposing a mechanism-aware approach (PALS).,REVIEW
"Gong, N.; Xie, X.; Liu, L.; Wang, Y.; Lei, Y.",2026,A two-stage enhanced generative adversarial networks for structural response reconstruction using measurements with random data loss,C,YES,"Focuses on GAN-based structural response reconstruction under random data loss (MCAR), treating random missingness purely as an experimental/application condition.",SKIP
"Choudhary, P.; Garg, K.",2024,A Novel Privacy Preservation Scheme by Matrix Factorized Deep Autoencoder,D,UNCLEAR,Primary focus is on privacy preservation schemes using autoencoders rather than the formal DL-statistical imputation bridge or missingness mechanisms.,SKIP
"Cabrera-Sanchez, J.-F.; Cardoso Pereira, R.; Henriques Abreu, P.; Silva-Ramirez, E.-L.",2024,A Perspective on the Missing at Random Problem: Synthetic Generation and Benchmark Analysis,B,UNCLEAR,"Directly focuses on the Missing at Random (MAR) problem, synthetic missingness generation, and statistical benchmark analysis for missing data methods.",REVIEW
"Kalhori, M.M.; Izadi, M.",2025,A Novel Mixed-Method Approach to Missing Value Imputation: An Introduction to MissMixed,C,UNCLEAR,Introduces a general missing value imputation algorithm (MissMixed) without explicit focus on formal statistical validity proofs or missingness mechanism theory in available metadata.,SKIP
"Shahid, F.; Mehmood, A.; Khan, R.; AL Smadi, A.; Yaqub, M.; Alsmadi, M.K.; Zheng, Z.",2023,1D Convolutional LSTM-based wind power prediction integrated with PkNN data imputation technique,D,YES,"Focused on wind power prediction using ConvLSTM and PkNN imputation as a pre-processing step, without addressing missingness mechanism theory or statistical validity.",SKIP
"Jäger, S.; Allhorn, A.; Bießmann, F.",2021,A Benchmark for Data Imputation Methods,C,UNCLEAR,"A benchmark framework evaluating imputation methods across missingness settings, treating mechanisms primarily as experimental evaluation parameters.",SKIP
Not specified,2023,"23rd International Conference on Computational Science, ICCS 2023",D,UNCLEAR,"Record represents an entire conference proceedings volume, not an individual research paper on imputation.",SKIP
"Mugenzi, T.; Perkgoz, C.",2026,A Composite Loss-Based Autoencoder for Accurate and Scalable Missing Data Imputation,C,UNCLEAR,Proposes an autoencoder architecture with composite loss for imputation performance without formal theoretical analysis of missingness mechanisms.,SKIP
"Sasu, G.-V.; Ciubotaru, B.-I.; Goga, N.; Vasilățeanu, A.",2025,Addressing Missing Data Challenges in Geriatric Health Monitoring: A Study of Statistical and Machine Learning Imputation Methods,C,YES,Comparative application study evaluating statistical and ML imputation techniques on health monitoring data without formal missingness mechanism theory.,SKIP
"Qian, L.; Ibrahim, Z.; Zhang, A.; Dobson, R.J.B.",2023,Addressing Class Imbalance in Electronic Health Records Data Imputation,D,UNCLEAR,Focuses on handling class imbalance in EHR data imputation rather than formal missingness mechanism theory or statistical validity.,SKIP
"Jiang, R.; Wang, S.; Zhang, Y.; Selis, V.",2023,A Joint Traffic Flow Estimation and Prediction Approach for Urban Networks,D,YES,Domain-specific application paper focused on traffic flow estimation and prediction rather than missing data imputation mechanisms.,SKIP
"Mazzutti, T.; Roisenberg, M.; De Freitas Filho, P.J.",2018,Adaptive Missing Data Imputation with Incremental Neuro-Fuzzy Gaussian Mixture Network (INFGMN),C,UNCLEAR,"Introduces an incremental neuro-fuzzy GMN for data imputation, focusing on neural network design without formal missingness mechanism analysis.",SKIP
