authors,year,title,is_imputation,formal_result,mechanism_claim,data_type,verdict
"Yige Sun, Jing Li, Yifan Xu, Tingting Zhang, Xiaofeng Wang",2023,"Deep learning versus conventional methods for missing data imputation: A review and comparative study",YES,NO,EMPIRICAL ONLY,Tabular,DOWNGRADE-C/D
"Christopher Willis, Dylan A. Goodin, Hunter A. Miller, Sally Suliman, Hermann B. Frieboes",2026,"Evaluation of accuracy and potential biases of imputation methods on biomedical datasets subject to different mechanisms and patterns of missingness",YES,NO,EMPIRICAL ONLY,Tabular,DOWNGRADE-C/D
"George Sun, Yi-Hui Zhou",2026,"Generative Conditional Missing Imputation Networks",YES,NO,EMPIRICAL ONLY,Tabular,DOWNGRADE-B
"Fan Zhou, Tengfei Li, Haibo Zhou, Jieping Ye, Hongtu Zhu",2019,"Graph-Based Semi-Supervised Learning with Nonignorable Nonresponses",NOT-IMPUTATION,NO,FORMAL PROOF,Both,DOWNGRADE-C/D
"Halimu N. Haliduola, Frank Bretz, Ulrich Mansmann",2022,"Missing data imputation in clinical trials using recurrent neural network facilitated by clustering and oversampling",YES,NO,EMPIRICAL ONLY,Multivariate Time Series,DOWNGRADE-C/D
"Niels Bruun Ipsen, Pierre-Alexandre Mattei, Jes Frellsen",2022,"How to deal with missing data in supervised deep learning?",NOT-IMPUTATION,NO,MENTIONS ONLY,Both,DOWNGRADE-C/D
"Ari Wibisono, Denny, Petrus Mursanto, Simon See",2024,Natural generative noise diffusion model imputation,YES,NO,EMPIRICAL ONLY,Tabular,DOWNGRADE-C/D
"Zongyu Dai, Zhiqi Bu, Qi Long",2021,Multiple Imputation via Generative Adversarial Network for High-dimensional Blockwise Missing Value Problems,YES,"YES: Theorem 1: ""Suppose the generators G2, ..., GK and discriminators D2, ..., DK are the optimal solutions of Equation (1), then each generator Gk learns the true conditional distribution f(xmis(k)|xobs(k)) under our MAR setting."" Theorem 2: ""Suppose the optimal generators G2, ..., GK and the discriminators D2, ..., DK are the optimal solutions of Equation (1), then the imputed incomplete cases in the k-th pattern follow the true distribution f(xobs(k),xmis(k)|Rk = 1).""",FORMAL PROOF,Tabular,CONFIRMED-A
"Manar D. Samad, Sakib Abrar, Norou Diawara",2022,Missing Value Estimation using Clustering and Deep Learning within Multiple Imputation Framework,YES,NO,EMPIRICAL ONLY,Tabular,DOWNGRADE-C/D
"Zongyu Dai, Zhiqi Bu, Qi Long",2022,Multiple Imputation with Neural Network Gaussian Process for High-dimensional Incomplete Data,YES,NO,EMPIRICAL ONLY,Tabular,DOWNGRADE-B
